file.name,peak.number,85.1327_TMAO-d9,180.1216_Cotinine-d3,182.1373_Nicotine-N-oxide-d3,184.0774_F-Phe,216.9548_Bromohypoxanthine,319.1737_Oxcodone-d3,378.1968_Trazodone-d6,392.2248_Quetiapine-d8,415.2447_Risperidone-d4,114.0667_Creatinine,117.0856_Creatinine-d3,130.1093_Metformin,136.1126_Amphetamine,150.1283_MethamphetaminePhentermine_1st,150.1283_MethamphetaminePhentermine_2nd,160.1_Pregabalin interference,160.13_Pregabalin interference,160.1338_Pregabalin_2nd,166.09_Pseudoephedrine interference,166.12_Pseudoephedrine interference,166.1232_Pseudoephedrine,172.1338_Gabapentin,177.1028_Cotinine,"180.1025_3,4-Methylenedioxyamphetamine_2nd",193.0977_Hydroxycotinine,"194.1181_3,4-Methyl​enedioxy​methamphetamine",200.1287_Ecgonine,"208.1338_3,4-Methylenedioxy-N-ethylamphetamine",216.0427_Cl-Tyr,233.1654_Norfentanyl,234.1494_Methylphenidate,240.1155_Bupropion,248.1651_Meperidine,256.0157_Lamotrigine,256.1104_Hydroxybupropion,256.1701_Diphenhydramine,258.0127_37Cl Lamotrigine,266.1657_Mirtazapine,276.13_EDDP surrogate interference,278.16_EDDP surrograte,278.1909_EDDP_1st,278.212_Venlafaxine_2nd,282.07_Nitrazepam surrogate,282.0879_Nitrazepam,285.0795_Diazepam,286.0747_7-Aminoclonazepam,286.1443_Hydromorphone_1st,286.1443_Morphine_2nd,287.0587_Oxazepam_2nd,300.16_Hydrocodone_1st,300.16_Codeine_2nd,301.0744_Temazepam,302.1392_Oxymorphone,306.0816_Sertraline,308.15_Zolpidem surrogate,308.1763_Zolpidem_2nd,308.2014_Benztropine_1st,310.1419_Fluoxetine,310.2171_Methadone,313.1487_Olanzapine,316.0489_Clonazepam,316.1549_Oxycodone,319.1036_Chlorpromazine,321.0198_Lorazepam,325.0449_Lorazepam-d4,328.1549_6-Acetylmorphine_1st,328.1549_Naloxone_2nd,330.1505_Paroxetine,337.228_Fentanyl,342.1705_Naltrexone,353.1349_Cotinine glucuronide,372.1591_Trazodone,376.148_Haloperidol,380.1731_Haloperidol-d4,384.1746_Quetiapine,389.1129_Zopiclone,404.1563_Perphenazine,411.2196_Risperidone,448.1559_Aripiprazole,468.3114_Buprenorphine
,13,3241620.422,3790989.239,2841954.956,3775221.27,354524.4156,1005822.895,575034.933,684949.2704,1032938.943,4401741.845,3121228.52,645242.7111,525650.3778,810378.5389,572649.5243,13747.18263,17287.3753,328631.0158,51171.21126,778885.0721,Interfered,595500.4125,270112.3778,490552.5885,551145.8355,630053.7535,301656.3023,740069.4223,1847398.862,341024.3646,691760.7374,364824.7232,1129861.956,223615.0008,248398.0231,Interfered,146523.2868,187270.6694,NPD,104373.0072,1197997.388,711030.6769,<LOD,<LOD,NPD,3458.39913,233523.6552,264231.3296,96823.20035,407905.851,345356.0481,404521.0741,212607.7202,226864.0443,135660.4154,626246.0626,Interfered,603488.7857,1960730.435,306120.1826,145546.7579,484301.5402,110421.3642,280807.2914,123876.0963,165298.9173,239175.9621,355296.1455,951424.9798,260199.7542,274021.8677,148879.5953,153679.6632,690438.1133,197261.8145,141148.1301,95333.51321,253457.7456,41032.68989,164315.0888
20240911_01,1,2747019.573,2777164.789,2661735.263,3323748.306,875100.614,795522.7625,480443.7691,514629.1121,617183.8565,10508.8769,<LOD,272341.4892,Interfered,244185.058,Interfered,14324.50611,3861.748014,Interfered,NPD,225856.7086,Interfered,177415.8846,93280.26715,129870.5913,150078.1272,191666.4801,96751.14207,Interfered,1682930.585,128746.9869,283962.47,130433.7877,252616.1841,59808.54447,103098.8474,188256.8316,44854.35489,102097.2377,NPD,48101.52152,357510.638,180205.0529,42961.95095,Interfered,169975.5471,57329.16748,61697.90858,61595.2997,126030.288,97319.29219,94345.98672,NPD,69902.26704,47256.98228,37258.339,160605.3183,125881.1331,126830.7825,313071.6048,140652.7327,NPD,131899.9713,45162.74835,NPD,37305.21849,52885.27196,Interfered,92458.23778,241326.3033,81816.30367,82555.33554,50770.69786,46988.86298,530943.5243,60182.94621,44294.72948,35400.69017,65161.88,9332.48401,50719.53785
,2,2113720.334,2239381.949,2092980.814,3310145.86,548723.2931,586889.3134,358947.801,339605.8774,401540.9371,72716166.28,1931030.742,NPD,Interfered,Interfered,Interfered,119960.5742,114167.0024,Interfered,460858.708,75827.32323,Interfered,5034.353715,104695.2327,NPD,277039.0907,13181.09293,660936.6035,Interfered,1720738.233,40249.24963,NPD,5190.052884,<LOD,NPD,Interfered,15361.72168,NPD,15495.47133,NPD,7528.271615,10825.31011,Interfered,NPD,NPD,2880.994008,<LOD,<LOD,<LOD,2500.583029,NPD,13874.06873,NPD,NPD,NPD,1939.582151,Interfered,NPD,2258.650961,NPD,<LOD,NPD,9254.988299,2873.1912,NPD,NPD,Interfered,<LOD,5319.046661,NPD,4864.361567,40135.95044,2064.683509,1550.089881,393101.0289,3579.923055,NPD,<LOD,NPD,1043.214888,NPD
,3,2186828.221,2219771.993,2158814.046,3271534.374,558717.0211,490045.1068,324724.8119,359754.9169,376801.065,68090750.26,1782559.831,,Interfered,Interfered,NPD,149680.0557,275152.1055,Interfered,511159.3474,104441.8042,Interfered,5938.490907,91566.7096,NPD,265359.6639,40233.30672,755541.576,Interfered,1690717.196,51325.67018,<LOD,NPD,4309.068033,1200.468875,Interfered,NPD,3073.036692,NPD,NPD,<LOD,NPD,NPD,NPD,Interfered,2757.183121,NPD,12314.81915,Interfered,<LOD,NPD,<LOD,NPD,Interfered,NPD,NPD,Interfered,Interfered,<LOD,NPD,<LOD,NPD,12627.73315,<LOD,NPD,NPD,2890.439172,NPD,NPD,<LOD,<LOD,43419.72336,NPD,3897.473774,399798.6845,7304.158454,2615.998795,<LOD,NPD,<LOD,NPD
,4,2183346.448,2586993.46,2140647.294,3151171.838,545734.7093,438980.4317,312346.403,358701.2822,349648.2723,76289135.62,1994865.127,15736.43065,6205.707841,6194.96795,3472.97011,136240.7659,160550.0687,Interfered,750121.7637,94190.0777,Interfered,23878.5089,116697.1973,NPD,253386.0207,30056.82222,646485.4798,Interfered,1650689.886,18368.56995,<LOD,2812.050687,8520.336929,NPD,NPD,7750.059882,NPD,29878.8158,NPD,NPD,Interfered,Interfered,NPD,NPD,<LOD,NPD,23860.06142,NPD,<LOD,10787.45425,<LOD,NPD,Interfered,NPD,NPD,Interfered,Interfered,<LOD,NPD,<LOD,NPD,8857.455562,<LOD,NPD,NPD,NPD,NPD,NPD,<LOD,4222.380581,40061.1921,2691.625492,NPD,390526.2574,8763.435829,NPD,5856.426292,<LOD,<LOD,NPD
,5,2052566.089,2543188.095,2125835.414,3037848.819,519204.2143,633748.5532,304290.6699,339342.469,471271.81,72646855.16,1928973.355,NPD,Interfered,4471.555734,Interfered,130476.7287,147960.2868,Interfered,753595.8438,91214.99948,NPD,NPD,105123.0752,NPD,233494.3804,<LOD,633535.6174,Interfered,1610217.646,33487.35145,NPD,NPD,12246.68044,NPD,Interfered,11012.47748,1158.596627,33596.37046,NPD,NPD,<LOD,Interfered,<LOD,NPD,NPD,NPD,20797.29552,Interfered,<LOD,10082.15968,12628.37732,NPD,83269.52151,NPD,2609.621795,Interfered,Interfered,NPD,97044.84302,14580.46673,1345.722391,20746.06609,NPD,NPD,40874.5963,4796.785776,2774.129512,NPD,<LOD,3429.371067,47094.68779,2168.380314,2019.209252,381183.6823,3918.295981,NPD,7715.849658,3852.273493,<LOD,NPD
,6,1967591.762,2493964.452,2163925.954,2972993.521,492493.3503,606105.3461,305392.9872,340223.0279,315506.9135,68047259.51,1807718.095,,3032.562384,Interfered,2948.292173,130432.4514,149095.2287,Interfered,523295.3391,23016.00028,Interfered,4049.596181,105019.4129,1776.528339,223955.3786,22381.33669,635566.6547,Interfered,1517980.542,4146.384143,<LOD,NPD,14509.82212,NPD,Interfered,18709.85837,1948.568702,28487.88476,78850.91347,5435.664355,Interfered,Interfered,1104.808901,1488.155085,3297.287103,NPD,20022.55658,Interfered,<LOD,NPD,13380.70039,<LOD,Interfered,<LOD,<LOD,Interfered,Interfered,<LOD,95469.05277,13047.11588,1890.800611,23213.41325,3630.205465,NPD,61087.36338,<LOD,Interfered,3566.820956,<LOD,NPD,43457.87921,4719.745025,6829.161201,373810.3971,4367.134065,NPD,<LOD,3985.87888,<LOD,NPD
,7,2503049.691,2838163.004,2215873.955,2787087.315,579078.042,658547.2958,272002.5875,230041.916,242900.8237,<LOD,<LOD,,NPD,NPD,Interfered,14043.02236,43267.1954,22427.34478,19129.72538,82507.66162,Interfered,5005.346135,6962.327843,NPD,10538.77512,<LOD,9456.800875,NPD,1451218.322,29979.34662,NPD,NPD,NPD,NPD,Interfered,7109.723717,2293.193202,NPD,113577.7998,Interfered,Interfered,Interfered,1162.409649,NPD,NPD,NPD,2712.698521,Interfered,<LOD,NPD,4372.539519,<LOD,58561.52348,NPD,NPD,Interfered,Interfered,2999.833954,NPD,7193.450143,1566.453871,6268.575225,2493.604296,NPD,72403.09662,Interfered,NPD,<LOD,5592.671806,8258.969059,NPD,2034.413915,4264.344448,212162.9581,NPD,2112.448894,3232.534095,NPD,NPD,1902.100928
,8,1988994.726,2478284.839,2021374.897,2954258.396,510886.9699,627892.5288,330831.9911,342485.8976,550540.5073,76850787.88,1996954.561,,1172.664771,Interfered,Interfered,112953.9746,105064.9268,29570.00274,395614.586,84782.68721,Interfered,27625.19387,111044.742,NPD,231268.0467,29020.5491,596658.2892,NPD,1582287.42,25064.32839,5403.709649,11565.85123,6663.120068,1599.770252,11001.3293,13338.00777,NPD,35210.71248,48669.43498,Interfered,Interfered,Interfered,NPD,NPD,5227.401517,NPD,15341.40895,NPD,2169.900268,NPD,9288.925083,NPD,Interfered,967.995688,<LOD,Interfered,Interfered,4555.289412,NPD,<LOD,2506.61619,28256.01565,<LOD,NPD,41347.87897,NPD,3632.794206,3393.075333,<LOD,NPD,37467.72198,9025.13114,6066.954233,444727.1435,<LOD,2271.723007,5684.019957,NPD,<LOD,NPD
,9,1958502.597,2289739.961,1995100.727,2863264.505,484666.7174,666790.0979,319147.4771,283455.3625,643426.9855,71015902.84,1855412.022,,NPD,Interfered,Interfered,121635.9779,103770.9337,31348.7442,409180.9061,78569.63685,NPD,NPD,116444.9867,38088.66748,215745.0934,24547.30237,580979.201,7317.351634,1498556.015,28266.34639,<LOD,3140.096964,NPD,NPD,NPD,28952.11681,1708.054765,9294.412427,NPD,9985.923644,Interfered,Interfered,1958.610874,<LOD,2567.568737,2076.434865,NPD,6416.916438,<LOD,NPD,NPD,NPD,NPD,NPD,NPD,Interfered,Interfered,NPD,93264.41461,NPD,NPD,24598.69574,2909.1903,1297.152139,NPD,<LOD,Interfered,NPD,NPD,NPD,43687.4027,10476.86178,2039.3433,390595.8156,NPD,NPD,<LOD,<LOD,1339.483557,NPD
,10,2065396.54,2332778.036,1993885.676,2892822.282,524816.2586,657317.0693,317479.3309,285540.6076,689597.8742,69406425.52,1817968.696,,4421.329343,Interfered,Interfered,117412.3143,92997.00955,34823.79091,401559.7011,289971.1305,12927.51976,3922.574639,105557.5011,63251.0788,239712.8731,19148.22855,571872.4893,<LOD,1479229.421,17555.25681,NPD,6407.808646,70581.526,1227.955823,3386.363983,20867.01289,<LOD,NPD,NPD,NPD,Interfered,Interfered,3095.517939,1350.301112,NPD,Interfered,NPD,8085.033744,NPD,<LOD,4343.058722,NPD,2724.149543,1135.252853,2526.577985,Interfered,Interfered,3401.654253,84388.46952,8773.634051,<LOD,28679.0459,NPD,NPD,34067.69742,Interfered,2330.443586,NPD,<LOD,2651.904583,50309.66024,6073.901935,NPD,376889.704,NPD,2472.688347,<LOD,<LOD,NPD,1917.203826
,11,1999428.212,2296401.381,1888030.087,2860011.197,524888.3873,611806.2128,317830.7745,301928.3109,722269.2628,70572438.43,1852040.271,39473.13396,18433.88201,Interfered,Interfered,118377.1046,79226.47986,40459.34408,399753.5055,290938.6529,14810.39564,3944.145902,105374.5381,47102.37367,234481.4,15754.39162,534739.3146,3490.744178,1465783.856,18153.79897,NPD,NPD,79478.7451,1569.785405,NPD,27266.67359,NPD,6713.357396,34416.26308,7806.862505,Interfered,Interfered,NPD,NPD,4177.769441,14362.29008,6574.597101,8057.057468,3535.168054,NPD,10209.61312,NPD,NPD,1413.47129,NPD,Interfered,Interfered,6408.411644,92809.58861,<LOD,NPD,28567.49632,<LOD,NPD,46611.8556,NPD,NPD,NPD,13180.43186,NPD,41778.14188,7255.191731,2846.320711,378790.8513,Interfered,NPD,NPD,NPD,1376.464926,NPD
,12,1950669.181,2219697.359,2094010.308,2769189.106,515097.2119,629990.3106,320868.396,357036.1049,700440.6945,69171448.4,1834729.781,57858.72509,13251.86487,Interfered,Interfered,117025.5173,111378.3807,4338.588016,391016.7922,205822.0569,NPD,7058.430993,100806.8402,107001.2624,185947.2176,25099.43279,533900.1182,4543.589243,1400829.696,27193.29797,7933.124156,3858.916551,63118.24765,3152.865209,NPD,17418.9018,1228.741621,NPD,1857.349874,NPD,Interfered,3753.421891,NPD,<LOD,4757.296624,NPD,6715.511262,Interfered,<LOD,NPD,12614.09223,7386.875012,NPD,NPD,NPD,Interfered,Interfered,NPD,81016.56864,NPD,124980.6513,20776.68697,NPD,3131.293095,54462.59894,NPD,NPD,NPD,4752.777932,6955.143565,37273.58206,2941.488412,2767.199159,384143.7605,NPD,1948.666734,NPD,NPD,1536.731148,<LOD
,13,2602496.22,2777298.64,2636636.683,2971630.344,812299.8021,795407.7446,469016.0257,521577.2066,926402.8295,108162.699,5954.741327,165719.0164,439230.6306,Interfered,446567.8309,15570.59224,NPD,238057.633,15961.14107,479177.5132,Interfered,452714.8048,190149.9789,436991.4192,412970.8866,482788.5906,223289.375,596529.632,1474636.598,263373.4638,516544.3369,280010.6521,837262.1556,167491.0399,213200.1541,362252.9284,109793.1186,135781.5692,NPD,75560.12711,Interfered,525924.468,NPD,245617.4181,440925.891,153952.9693,172331.7859,172598.0065,197013.1024,288409.2716,250426.44,239159.1909,179736.5031,154077.1148,100974.7191,469910.9695,Interfered,420802.0457,1368851.59,297033.335,1912.365171,370743.761,85905.20636,NPD,81608.50697,138610.0809,195187.392,276668.3853,682551.3376,200464.3456,198308.7832,109477.1235,116079.503,564019.1277,140790.4783,113707.9699,105477.4639,206916.4533,18727.99926,109762.9672
20240911_02,1,3025422.786,3335470.908,2938883.624,3023518.528,859101.7867,661151.3814,329826.5897,316601.2303,500973.561,3772.287903,3094.774295,NPD,1840.389546,<LOD,Interfered,1761.434447,3607.747855,NPD,<LOD,6117.000144,2433.190662,NPD,54982.08261,2285.804383,35796.67385,<LOD,<LOD,Interfered,1546559.859,4974.748191,5749.739711,<LOD,3876.295565,NPD,Interfered,<LOD,NPD,13572.49122,NPD,NPD,4561.658488,Interfered,NPD,NPD,2252.406522,1394.594685,3000.24733,NPD,<LOD,NPD,<LOD,<LOD,NPD,NPD,2406.07736,Interfered,31037.6714,<LOD,<LOD,<LOD,<LOD,NPD,<LOD,NPD,231237.8649,NPD,2542.244506,NPD,<LOD,2456.993983,7326.871182,<LOD,<LOD,201736.6641,NPD,NPD,<LOD,<LOD,<LOD,<LOD
,2,2952091.212,3199371.086,2734083.319,3032866.846,758610.2736,855210.9718,394095.5235,422814.4727,687185.6396,<LOD,NPD,NPD,Interfered,Interfered,Interfered,2112.469791,NPD,Interfered,2949.391308,<LOD,2661.62159,<LOD,92503.63496,NPD,73825.86732,14011.90492,NPD,Interfered,1519446.407,NPD,<LOD,NPD,NPD,NPD,NPD,5475.772338,1203.742961,12640.27921,NPD,<LOD,NPD,Interfered,<LOD,Interfered,3475.512148,NPD,NPD,Interfered,<LOD,NPD,NPD,3488.433163,<LOD,NPD,NPD,9855.199996,Interfered,NPD,NPD,5439.224764,3834.497267,NPD,NPD,NPD,96093.07464,NPD,NPD,NPD,NPD,3733.010481,31683.74014,NPD,<LOD,349617.6699,2663.50521,NPD,2450.55042,3249.096843,NPD,NPD
,3,2530494.608,2994622.801,2355919.411,2856167.635,752287.7749,796157.8958,357138.4157,396256.553,570433.0932,<LOD,8588.300441,NPD,Interfered,Interfered,Interfered,1326.861501,NPD,2708.451697,1740.65968,<LOD,2645.357393,2769.382487,205313.6409,11744.02493,144213.7097,13550.6358,NPD,Interfered,1508241.68,<LOD,<LOD,NPD,NPD,1090.138379,Interfered,NPD,NPD,13206.98233,2689.246649,<LOD,Interfered,Interfered,<LOD,NPD,3026.418442,NPD,NPD,NPD,<LOD,NPD,NPD,NPD,Interfered,<LOD,<LOD,Interfered,NPD,<LOD,NPD,<LOD,NPD,NPD,1825.872056,NPD,118487.3313,4467.370744,3104.957825,NPD,NPD,NPD,79244.77497,NPD,<LOD,303485.3241,NPD,3012.037683,<LOD,NPD,<LOD,1853.071544
,4,2708382.312,2882791.724,2557786.807,2930005.945,694739.9248,825589.9952,309809.6973,299713.6385,403500.976,<LOD,6255.37584,,Interfered,Interfered,Interfered,<LOD,3844.242749,Interfered,<LOD,<LOD,5903.948872,NPD,386176.2277,28043.57116,304078.8204,25650.96639,2438.108006,3922.285284,1465115.217,12983.47911,11967.42727,1924.824302,NPD,NPD,2060.72682,<LOD,1227.563732,21076.58947,<LOD,Interfered,Interfered,Interfered,<LOD,NPD,<LOD,<LOD,3093.341997,Interfered,2775.103394,NPD,<LOD,<LOD,<LOD,NPD,<LOD,Interfered,Interfered,NPD,<LOD,<LOD,934.0594281,<LOD,<LOD,NPD,126509.8528,NPD,NPD,NPD,<LOD,<LOD,143510.2416,NPD,2550.479084,273132.9109,NPD,<LOD,NPD,<LOD,<LOD,NPD
,5,2405078.604,2727081.979,2266049.245,2816213.551,663141.4124,764345.5033,282496.9383,270276.4067,483330.446,<LOD,3966.986391,NPD,NPD,Interfered,Interfered,<LOD,NPD,<LOD,2911.081542,<LOD,6960.455281,NPD,789219.8133,51992.45697,612017.4107,57089.03985,NPD,3114.585202,1381307.401,7892.586367,9506.236309,NPD,6595.441173,1152.105402,NPD,NPD,NPD,9837.246545,NPD,Interfered,Interfered,5728.798601,NPD,1852.690921,NPD,Interfered,NPD,Interfered,<LOD,<LOD,NPD,3021.910882,NPD,NPD,2092.228539,Interfered,Interfered,NPD,NPD,8479.489695,890.2982179,<LOD,NPD,NPD,NPD,NPD,NPD,NPD,4238.440254,3173.56205,285686.7089,1861.801098,1878.678943,277046.3817,1745.203002,<LOD,1296.612136,NPD,NPD,<LOD
,6,2557664.139,2790108.277,2419645.432,2798660.981,666980.5136,794554.9429,333033.9049,280186.4293,614792.1217,3102.057445,6757.610278,,Interfered,Interfered,Interfered,1830.349227,2371.87001,NPD,8387.471518,5783.472986,Interfered,<LOD,1522152.903,NPD,1160615.974,93780.92007,NPD,NPD,1585976.434,24409.39254,NPD,NPD,NPD,NPD,NPD,NPD,NPD,12758.32975,NPD,3473.932938,Interfered,NPD,<LOD,Interfered,3491.232602,NPD,<LOD,Interfered,NPD,NPD,NPD,NPD,<LOD,1043.166034,2539.158651,Interfered,Interfered,2501.934699,<LOD,<LOD,1019.763416,NPD,<LOD,NPD,98277.08813,NPD,NPD,NPD,9590.432004,10102.5171,547274.0146,NPD,NPD,343359.5903,NPD,NPD,1348.120014,<LOD,NPD,2165.095098
,7,2528772.848,2859980.88,2485058.269,2769563.391,720680.6438,783429.6874,371046.828,341969.7558,640698.2012,2938.802456,7951.342547,NPD,NPD,Interfered,NPD,2658.160868,2437.369866,NPD,8697.922864,2808.620808,Interfered,NPD,11778.76737,NPD,5514.499486,<LOD,6161.956369,NPD,1507496.501,28587.61801,NPD,<LOD,NPD,775.5996988,NPD,NPD,NPD,<LOD,NPD,NPD,NPD,<LOD,<LOD,NPD,NPD,NPD,<LOD,Interfered,3086.491617,NPD,NPD,NPD,Interfered,965.1474395,NPD,<LOD,Interfered,2851.803226,<LOD,<LOD,<LOD,NPD,2573.759543,1342.579683,110555.8023,NPD,NPD,NPD,<LOD,19360.51517,4410.026087,NPD,1458.763094,326591.1014,NPD,<LOD,<LOD,6011.55714,NPD,NPD
,8,2448625.798,2469318.543,2416671.88,2608501.669,640711.8836,703656.4535,342761.5208,306939.0666,519352.7042,<LOD,7448.046988,<LOD,2076.347716,NPD,Interfered,1874.774031,<LOD,NPD,2300.347154,1366.057211,Interfered,NPD,43054.95898,NPD,27646.32368,3319.624363,NPD,NPD,1382165.535,<LOD,NPD,<LOD,NPD,NPD,NPD,NPD,NPD,NPD,2441.204758,Interfered,<LOD,NPD,NPD,Interfered,NPD,1247.177147,NPD,NPD,<LOD,<LOD,NPD,NPD,<LOD,<LOD,2963.473117,Interfered,<LOD,<LOD,NPD,5825.934741,1291.565618,4074.912173,<LOD,2275.965689,128294.8109,2310.424265,<LOD,2879.702956,7462.159643,<LOD,18648.38034,NPD,4728.616684,257982.0268,NPD,NPD,NPD,NPD,1514.740088,2057.468573
,9,2472717.563,2741641.382,2444641.688,2804049.358,662395.4211,761121.9336,396419.3777,436950.773,742332.6464,<LOD,2370631.225,,<LOD,Interfered,Interfered,<LOD,NPD,NPD,<LOD,2083.397177,Interfered,NPD,75695.84752,NPD,52284.49857,9816.322762,2555.565573,NPD,1420989.662,NPD,NPD,1899.881464,NPD,1231.133181,2697.784182,<LOD,1672.959813,NPD,NPD,NPD,NPD,Interfered,<LOD,Interfered,<LOD,Interfered,NPD,Interfered,<LOD,NPD,NPD,NPD,<LOD,NPD,2971.628905,Interfered,Interfered,1507.266434,NPD,5661.454888,1665.496919,NPD,NPD,1240.032709,118551.753,NPD,Interfered,2198.261708,NPD,<LOD,25546.05651,3069.568319,<LOD,353394.1513,NPD,1906.164114,1496.840558,<LOD,NPD,<LOD
,10,2396716.463,2692122.537,2266774.678,2950380.975,678886.7614,772489.6716,382728.7316,446941.6302,726223.82,49522.62721,2270780.654,<LOD,NPD,Interfered,<LOD,<LOD,NPD,NPD,4098.892478,1733.36195,Interfered,NPD,179198.6173,NPD,137512.7138,14460.05308,1786.517113,NPD,1485266.094,<LOD,NPD,3183.409414,NPD,2770.051616,NPD,<LOD,NPD,<LOD,NPD,NPD,<LOD,NPD,NPD,Interfered,NPD,1263.3362,<LOD,Interfered,<LOD,3499.433147,NPD,5374.644891,1797.459145,NPD,NPD,Interfered,Interfered,1749.023288,NPD,NPD,1226.086155,<LOD,2697.945568,2402.754727,114598.5582,Interfered,NPD,NPD,7912.915883,<LOD,90142.36842,1900.645375,<LOD,380264.6379,NPD,<LOD,1045.935713,<LOD,1034.594087,2265.536333
,11,2406976.267,2656101.365,2296637.11,2760929.931,693425.1479,801812.2808,377642.4672,440634.8013,657533.8626,<LOD,2278891.705,,Interfered,NPD,Interfered,<LOD,<LOD,Interfered,3016.105006,<LOD,<LOD,<LOD,355591.8479,1652.521643,265251.0771,26174.61734,NPD,NPD,1421100.328,<LOD,<LOD,4103.986448,5660.024133,817.89011,NPD,NPD,NPD,<LOD,<LOD,<LOD,Interfered,<LOD,881.4789069,NPD,<LOD,NPD,NPD,Interfered,<LOD,NPD,NPD,<LOD,1632.030856,1162.149177,NPD,<LOD,Interfered,2271.305274,<LOD,<LOD,1540.915591,<LOD,NPD,2179.305674,118888.2152,NPD,NPD,NPD,<LOD,NPD,116714.5226,4002.341735,1515.581788,359749.8618,1720.006535,2575.815078,<LOD,NPD,NPD,<LOD
,12,2564077.98,2851676.978,2329763.326,2820810.323,686479.3829,807259.6326,409880.6586,487399.654,788234.6406,<LOD,2425726.119,,NPD,Interfered,Interfered,<LOD,NPD,2203.227194,<LOD,<LOD,1931.760412,NPD,809055.7175,NPD,624944.836,54698.05889,NPD,<LOD,1403694.028,<LOD,6499.823904,1524.539669,NPD,2535.861831,NPD,NPD,1460.430563,4544.687174,1493.505078,NPD,<LOD,NPD,1440.345376,NPD,NPD,Interfered,NPD,Interfered,1981.026439,NPD,NPD,3481.804291,<LOD,1148.794973,NPD,Interfered,<LOD,NPD,NPD,<LOD,<LOD,NPD,1609.219126,NPD,121523.2549,NPD,NPD,3475.849145,NPD,2551.707134,287146.8092,1934.42628,NPD,402200.3967,NPD,2221.419519,4244.804318,NPD,NPD,NPD
,13,2499874.623,2804310.588,2247258.62,2779892.751,738223.4291,775478.73,412261.5785,459889.1898,806535.4693,57093.41703,2352516.172,NPD,NPD,Interfered,NPD,2584.079544,2048.203371,<LOD,<LOD,<LOD,Interfered,<LOD,1527536.881,NPD,1121683.565,90472.18786,NPD,NPD,1415293.6,<LOD,<LOD,1583.493366,<LOD,NPD,NPD,NPD,NPD,NPD,<LOD,NPD,<LOD,4725.826223,1413.522711,NPD,NPD,Interfered,<LOD,NPD,6395.109299,<LOD,3474.301471,NPD,NPD,<LOD,NPD,NPD,Interfered,1601.736441,<LOD,<LOD,1936.566675,NPD,NPD,1380.306052,110676.6937,NPD,<LOD,NPD,<LOD,<LOD,510362.3147,NPD,NPD,456109.8689,NPD,3287.823738,5705.0238,NPD,1462.751175,<LOD
20240911_03,1,2382265.708,2904993.077,2730805.536,3293442.066,908522.6285,560188.0399,470216.9495,496135.8388,838592.8369,74350694.14,2071786.166,5856136.19,523516.7248,655235.3397,Interfered,305084.358,154690.7587,1974857.205,513778.385,278986.453,510963.5589,4945975.983,247729.3722,344808.909,523530.5856,495922.8754,271907.4826,650496.1535,1662898.226,282804.8682,455203.8079,297424.0079,802404.5435,242699.4414,243652.7346,406431.5835,157513.6921,249076.6922,293265.2577,83364.83746,907202.588,Interfered,110102.8003,282510.9711,492791.2101,151641.9848,202926.9266,Interfered,379345.2409,306369.3155,247391.7856,406458.1243,160632.2113,233797.0709,85862.47349,Interfered,305314.9233,584076.8204,1359313.084,420731.6062,233172.631,274513.3832,143384.2477,124884.6461,152253.7486,154667.1202,210526.0666,354246.1671,755087.8344,226370.1062,308879.8437,120228.6811,149950.6995,606748.6329,153265.8327,133751.9173,160186.4189,233034.3465,66418.07538,282292.8871
,2,2275017.541,2710003.45,2653960.481,3088982.715,848232.5208,645578.8114,483185.965,500620.796,1012048.884,70323947.74,1976545.934,5621108.905,505330.352,Interfered,Interfered,402003.9269,135929.4381,1967247.286,574269.2426,242757.8376,517317.1975,4560976.226,228998.1818,476879.0884,571559.1713,434257.6233,240852.0456,589774.6222,1671607.733,270904.9449,404807.7769,310503.1004,795482.163,208547.8924,248729.8535,371984.2772,135385.8553,218516.0665,278747.5122,73414.92898,828679.4605,Interfered,99580.37636,254190.6881,474303.1988,134577.4253,187677.388,Interfered,316020.0542,266295.4356,280443.8399,333088.5173,187294.1329,297258.455,83785.84667,Interfered,Interfered,658114.1703,1461143.735,420178.526,182103.9166,291494.1906,170701.0315,73813.10176,166112.4702,154104.0397,206479.7686,380785.0391,682092.8797,242422.4161,283295.8998,121468.9377,147252.2076,637068.7805,156582.0348,130486.0124,193292.1688,251995.0226,99681.47451,278968.4975
,3,2061239.612,2370600.807,2452084.448,2735594.9,778821.9825,606706.4902,431502.3735,430645.606,1080306.423,66941508.77,1883382.531,3783146.634,461993.4712,Interfered,Interfered,387904.8343,111709.7758,1813794.032,464870.6368,234740.2098,514984.5579,4319328.171,210813.1382,490696.8593,486498.0733,405780.2978,213724.2739,515584.4492,1529588.369,284739.599,394536.9222,292999.4738,854367.0827,216179.4601,221549.882,352528.3794,146193.6786,159974.5605,276361.9384,82005.49298,Interfered,Interfered,97217.1914,247935.6504,457775.6938,155465.3592,157405.5886,Interfered,278525.0986,267892.2654,263061.0014,283019.8384,198239.7429,270291.6675,89679.32649,Interfered,Interfered,610427.6117,1476410.693,335617.8686,159268.566,287919.4253,165590.7673,73258.06608,100122.2209,142187.3703,217188.7822,365910.9114,657369.5973,222354.521,266236.9057,111327.2446,142175.0147,597313.6144,138831.2071,128099.15,170516.5785,264702.3536,79754.11456,257760.593
